"osm_id","latitude","longitude","name","traffic_signals","direction","crossing","source","osm_url"
432501735,12.9867348,77.6479602,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/432501735"
433833664,13.0666836,77.5032893,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/433833664"
442107151,12.9970202,77.6700327,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/442107151"
442107189,13.0050449,77.6850796,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/442107189"
442438288,13.0199989,77.6744956,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/442438288"
443224605,12.9352411,77.6243708,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/443224605"
446782731,13.0190360,77.5397483,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/446782731"
446860580,12.9880870,77.5375652,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/446860580"
446860594,12.9875488,77.5542881,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/446860594"
446860595,12.9899503,77.5544114,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/446860595"
446860602,13.0044156,77.5536625,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/446860602"
447113035,12.9687560,77.5367440,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/447113035"
447113036,12.9688104,77.5365875,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/447113036"
447114405,12.9708147,77.5249854,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/447114405"
448116638,12.9901695,77.5507964,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/448116638"
448116639,12.9900699,77.5505078,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/448116639"
465232495,13.0015048,77.5945171,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/465232495"
481750173,12.9899972,77.6547867,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/481750173"
483412094,13.0250957,77.5111135,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/483412094"
483412558,13.0164967,77.5056432,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/483412558"
493493706,12.9481732,77.5741139,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/493493706"
494238032,12.9205790,77.6000653,"Gurappana Palya Junction","","","","OpenStreetMap","https://www.openstreetmap.org/node/494238032"
